2024-05-01 20:32 - Winners: ['roggan.', '__hackerman', 'ottosson7254', 'sku6808', 'jakob7121'] Losers: ['.skiipa', 'lackosia', 'moulbaert1', 'jointzart', 'harveyspecter']

2024-05-01 21:31 - Winners: ['slyver123', 'cricket9584', '.skiipa', 'sku6808', 'jointzart'] Losers: ['roggan.', 'moulbaert1', 'lackosia', '__hackerman', 'jakob7121']

2024-05-03 21:32 - Winners: ['.skiipa', 'sku6808', 'ottosson7254', 'jointzart', 'tf147'] Losers: ['roggan.', 'slyver123', 'cricket9584', '__hackerman', 'jockwe']

2024-05-03 22:37 - Winners: ['.skiipa', '__hackerman', 'tf147', 'ottosson7254', 'cricket9584'] Losers: ['sku6808', 'jointzart', 'jockwe', 'jakob7121', 'slyver123']

2024-05-04 00:01 - Winners: ['lackosia', 'benkebonk', 'jockwe', 'jakob7121', 'kingo.1337'] Losers: ['deeeeer', 'cricket9584', 'jointzart', 'slyver123', 'sku6808']

2024-05-04 00:01 - Winners: ['lackosia', 'benkebonk', 'jockwe', 'jakob7121', 'kingo.1337'] Losers: ['deeeeer', 'cricket9584', 'jointzart', 'slyver123', 'sku6808']

2024-05-04 01:02 - Winners: ['lackosia', 'benkebonk', 'deeeeer', 'ottosson7254', 'kingo.1337'] Losers: ['__hackerman', 'jakob7121', 'jointzart', 'varianten', 'imkreden']

2024-05-04 19:43 - Winners: ['.skiipa', 'kingo.1337', '__hackerman', 'slyver123', 'sku6808'] Losers: ['harveyspecter', 'lackosia', 'benkebonk', 'tf147', 'ottosson7254']

2024-05-04 20:33 - Winners: ['kingo.1337', '.skiipa', 'slyver123', 'ottosson7254', 'albintina'] Losers: ['__hackerman', 'benkebonk', 'lackosia', 'sku6808', 'tf147']

2024-05-04 21:56 - Winners: ['__hackerman', 'benkebonk', 'kingo.1337', 'albintina', 'lackosia'] Losers: ['.skiipa', 'slyver123', 'ottosson7254', 'tf147', 'sku6808']

2024-05-04 23:13 - Winners: ['lackosia', '__hackerman', 'benkebonk', 'albintina', 'moulbaert1'] Losers: ['harveyspecter', 'jointzart', 'kingo.1337', 'slyver123', 'sku6808']

2024-05-05 15:00 - Winners: ['.skiipa', 'kingo.1337', 'moulbaert1', 'jakob7121', 'benkebonk'] Losers: ['sku6808', 'lackosia', 'laktosia', 'jointzart', 'harveyspecter']

2024-05-05 16:07 - Winners: ['ottosson7254', '.skiipa', 'kingo.1337', 'sku6808', 'jointzart'] Losers: ['tf147', 'lackosia', 'moulbaert1', 'harveyspecter', 'jakob7121']

2024-05-05 18:54 - Winners: ['.skiipa', 'lackosia', 'kingo.1337', 'imkreden', 'ottosson7254'] Losers: ['jakob7121', 'sku6808', 'jointzart', 'deeeeer', 'tf147']

2024-05-05 20:03 - Winners: ['imkreden', 'tf147', 'deeeeer', 'lackosia', 'jakob7121'] Losers: ['jointzart', '.skiipa', 'ottosson7254', 'kingo.1337', 'sku6808']

2024-05-09 15:47 - Winners: ['.skiipa', 'ottosson7254', 'jona90', 'tf147', 'mandelmans'] Losers: ['lackosia', 'sku6808', 'slyver123', '__hackerman', 'cricket9584']

2024-05-09 16:38 - Winners: ['.skiipa', 'slyver123', 'jona90', 'ottosson7254', 'sku6808'] Losers: ['deeeeer', 'lackosia', 'tf147', 'mandelmans', 'cricket9584']

2024-05-09 21:22 - Winners: ['.skiipa', 'ottosson7254', 'fault9', 'mandelmans', 'kingo.1337'] Losers: ['sku6808', 'jockwe', 'cricket9584', 'lackosia', 'slyver123']

2024-05-09 22:50 - Winners: ['__hackerman', 'cricket9584', 'sku6808', 'slyver123', 'mandelmans'] Losers: ['harveyspecter', 'kingo.1337', 'lackosia', 'jockwe', 'benkebonk']

2024-05-10 21:04 - Winners: ['pingeling.', '.skiipa', 'sku6808', 'slyver123', 'jona90'] Losers: ['lackosia', 'harveyspecter', 'ottosson7254', 'jockwe', 'moulbaert1']

2024-05-10 22:01 - Winners: ['__hackerman', 'kingo.1337', '.skiipa', 'jona90', 'slyver123'] Losers: ['sku6808', 'lackosia', 'moulbaert1', 'harveyspecter', 'jockwe']

